"salinity","phase","salinity_unit","n","weight_mg","dev_weight","dev_weight_type","rate_type","rate","rate_unit","dev_rate","dev_rate_type","temperature","species","family","condition","type","dissolved_oxygen","do_unit","reference"
"5","juvenile","psu","5",154,16,"se","routine",0.017,"mlO2_per_hour",0.002,"se",18,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"15","juvenile","psu","5",166,8,"se","routine",0.018,"mlO2_per_hour",0,"se",18,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"25","juvenile","psu","5",184,17,"se","routine",0.02,"mlO2_per_hour",0.001,"se",18,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"35","juvenile","psu","5",169,9,"se","routine",0.018,"mlO2_per_hour",0.001,"se",18,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"45","juvenile","psu","5",177,9,"se","routine",0.021,"mlO2_per_hour",0.001,"se",18,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"5","juvenile","psu","5",158,10,"se","routine",0.034,"mlO2_per_hour",0.002,"se",23,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"15","juvenile","psu","5",138,7,"se","routine",0.033,"mlO2_per_hour",0.002,"se",23,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"25","juvenile","psu","5",145,7,"se","routine",0.036,"mlO2_per_hour",0.001,"se",23,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"35","juvenile","psu","5",139,7,"se","routine",0.039,"mlO2_per_hour",0.001,"se",23,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"45","juvenile","psu","4",150,14,"se","routine",0.035,"mlO2_per_hour",0.001,"se",23,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"5","juvenile","psu","5",168,23,"se","routine",0.06,"mlO2_per_hour",0.008,"se",28,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"15","juvenile","psu","5",166,15,"se","routine",0.06,"mlO2_per_hour",0.007,"se",28,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"25","juvenile","psu","5",191,27,"se","routine",0.065,"mlO2_per_hour",0.006,"se",28,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"35","juvenile","psu","2",136,2,"se","routine",0.057,"mlO2_per_hour",0.013,"se",28,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
