sites,npp
site_1,309.9056602
site_2,365.7216291
site_3,128.5677735
site_4,132.9146493
site_5,315.2976348
site_6,150.4737932
site_7,363.66692
site_8,47.08331668
site_9,230.1436893
site_10,382.7709754
site_11,109.6200445
site_12,65.43748301
site_13,91.30644215
site_14,48.25992875
site_15,111.8448117
site_16,80.06362457
site_17,373.4355469
site_18,125.6064256
site_19,362.7906343
site_20,121.5802727
site_21,87.39543758
site_22,130.5719139
site_23,103.3974772
site_24,127.7536669
site_25,78.85058029
site_26,115.9242163
site_27,99.2407443
site_28,54.26740166
site_29,54.18315357
site_30,61.48200076
site_31,95.59731384
site_32,452.3743645
site_33,114.274245
site_34,58.40663938
site_35,220.505634
site_36,783.3476725
site_37,258.4411352
site_38,149.6321307
site_39,136.8115636
site_40,96.94206823
site_41,70.22945789
site_42,72.08724163
site_43,302.2930061
site_44,80.15615015
site_45,156.9138533
site_46,124.3599578
site_47,112.8839622
site_48,208.6283635
site_49,128.8918174
